"order_id","order_date","customer_id","customer_name","region"
"O000001","2024-01-18","C00132","Aarav Singh","Central"
"O000002","2024-08-27","C00292","Kabir Sharma","West"
"O000003","2025-06-26","C00415","Anaya Verma","South"
"O000004","2025-08-01","C00430","Vivaan Gupta","North"
"O000005","2024-03-08","C00471","Rahul Patel","North"
"O000006","2024-04-25","C00155","Vivaan Nair","South"
"O000007","2024-12-23","C00366","Kiara Patel","Central"
"O000008","2025-10-22","C00326","Isha Patel","East"
"O000009","2024-04-07","C00477","Meera Singh","North"
"O000010","2024-11-04","C00392","Kiara Das","South"
"O000011","2024-03-08","C00080","Kabir Verma","North"
"O000012","2025-11-26","C00150","Neha Iyer","Central"
"O000013","2024-10-17","C00064","Isha Patel","Central"
"O000014","2024-12-24","C00293","Rohan Gupta","Central"
"O000015","2024-02-21","C00342","Rahul Gupta","West"
"O000016","2025-06-11","C00391","Meera Patel","Central"
"O000017","2025-07-19","C00005","Meera Sharma","Central"
"O000018","2025-10-07","C00145","Kabir Jain","Central"
"O000019","2025-12-11","C00173","Rahul Singh","East"
"O000020","2024-11-15","C00254","Kabir Verma","West"
"O000021","2025-03-04","C00458","Isha Gupta","West"
"O000022","2024-02-08","C00120","Isha Jain","South"
"O000023","2025-12-28","C00424","Arjun Verma","South"
"O000024","2024-01-16","C00331","Aarav Iyer","South"
"O000025","2024-09-03","C00275","Kabir Sharma","Central"
"O000026","2024-03-12","C00136","Kiara Iyer","Central"
"O000027","2025-01-15","C00431","Aarav Iyer","North"
"O000028","2024-08-27","C00213","Meera Sharma","Central"
"O000029","2025-09-18","C00306","Anaya Sharma","South"
"O000030","2025-12-20","C00267","Meera Mehta","West"
"O000031","2025-06-04","C00216","Kiara Verma","West"
"O000032","2025-03-13","C00003","Aarav Iyer","North"
"O000033","2025-09-09","C00132","Aarav Singh","Central"
"O000034","2025-08-08","C00372","Isha Khan","West"
"O000035","2024-10-08","C00011","Rohan Khan","South"
"O000036","2024-07-26","C00014","Isha Reddy","North"
"O000037","2025-06-09","C00130","Arjun Singh","Central"
"O000038","2025-08-25","C00475","Isha Mehta","South"
"O000039","2025-12-02","C00263","Kiara Nair","West"
"O000040","2024-09-28","C00231","Aarav Jain","West"
"O000041","2025-10-13","C00315","Isha Sharma","South"
"O000042","2024-02-07","C00265","Kiara Das","North"
"O000043","2024-09-12","C00302","Arjun Reddy","West"
"O000044","2025-10-08","C00215","Rahul Jain","North"
"O000045","2025-04-28","C00434","Kabir Nair","South"
"O000046","2025-06-18","C00089","Rohan Jain","West"
"O000047","2025-04-17","C00152","Arjun Das","North"
"O000048","2024-08-06","C00214","Kiara Das","West"
"O000049","2025-12-11","C00460","Arjun Verma","East"
"O000050","2024-10-26","C00467","Rohan Khan","Central"
"O000051","2025-05-16","C00301","Rohan Jain","Central"
"O000052","2025-08-30","C00082","Diya Nair","North"
"O000053","2025-04-22","C00471","Rahul Patel","North"
"O000054","2024-12-11","C00144","Vivaan Nair","West"
"O000055","2024-09-10","C00448","Anaya Nair","West"
