customer_id,customer_name,email,region,city,signup_date,segment,lifetime_value,order_frequency,avg_order_value,total_profit,first_order_date,last_order_date,customer_tenure_days
C000001,Vivaan Gupta,c000001@mail.com,West,Ahmedabad,2024-12-16,Home Office,457619.89,4.0,114404.9725,128671.95999999999,2024-12-08,2025-12-23,380.0
C000002,Arjun Singh,c000002@mail.com,South,Bengaluru,2024-06-07,Consumer,412823.65,5.0,82564.73000000001,124924.14000000001,2024-08-01,2025-10-27,452.0
C000003,Rahul Reddy,c000003@mail.com,West,Ahmedabad,2022-09-06,Corporate,330869.5,7.0,47267.07142857143,89200.63000000003,2025-01-30,2025-12-05,309.0
C000004,Isha Malhotra,c000004@mail.com,West,Pune,2025-04-09,Corporate,670314.38,9.0,74479.37555555555,229650.39000000004,2024-04-27,2025-11-20,572.0
C000005,Saanvi Kulkarni,c000005@mail.com,North,Chandigarh,2025-04-06,Corporate,235388.59,3.0,78462.86333333333,78883.18,2024-02-12,2025-04-02,415.0
C000006,Kiara Sharma,c000006@mail.com,Central,Bhopal,2022-02-19,Consumer,190162.78,2.0,95081.39,66167.18000000001,2025-03-04,2025-07-10,128.0
C000007,Isha Bose,c000007@mail.com,West,Mumbai,2022-01-31,Consumer,182002.87,2.0,91001.435,44792.32000000001,2025-01-12,2025-06-24,163.0
C000008,Kabir Bose,c000008@mail.com,West,Pune,2022-10-21,Consumer,588973.13,8.0,73621.64125,153960.45,2024-04-06,2025-10-09,551.0
C000009,Aditya Malhotra,c000009@mail.com,North,Chandigarh,2024-08-10,Consumer,436091.6099999999,7.0,62298.801428571416,117875.45999999999,2024-09-20,2025-12-19,455.0
C000010,Kabir Sharma,c000010@mail.com,South,Hyderabad,2023-12-19,Consumer,361434.37,7.0,51633.48142857143,122175.04,2024-06-08,2025-03-17,282.0
C000011,Rohan Saxena,c000011@mail.com,South,Hyderabad,2023-09-08,Consumer,336758.57999999996,6.0,56126.42999999999,107811.78,2024-07-16,2025-11-25,497.0
C000012,Nitya Chopra,c000012@mail.com,Central,Nagpur,2023-05-14,Corporate,503389.07,8.0,62923.63375,170054.65,2024-06-29,2025-09-09,437.0
C000013,Diya Bhat,c000013@mail.com,West,Pune,2023-07-30,Corporate,550187.83,7.0,78598.26142857142,195088.48,2024-05-28,2025-11-23,544.0
C000014,Nitya Bhat,c000014@mail.com,West,Pune,2024-02-05,Consumer,395711.48,5.0,79142.296,148140.71,2024-11-07,2025-11-03,361.0
C000015,Nikhil Saxena,c000015@mail.com,South,Chennai,2022-03-18,Consumer,548153.07,6.0,91358.84499999999,181850.37,2024-07-24,2025-12-02,496.0
C000016,Aarav Khan,c000016@mail.com,South,Chennai,2023-12-05,Corporate,117937.56,4.0,29484.39,46545.07,2024-05-23,2025-12-16,572.0
C000017,Rahul Kulkarni,c000017@mail.com,East,Patna,2022-09-23,Consumer,298670.45,6.0,49778.40833333333,115150.95999999999,2024-04-23,2025-04-11,353.0
C000018,Saanvi Patel,c000018@mail.com,North,Delhi,2024-08-03,Consumer,185648.49,5.0,37129.698,58123.28999999999,2024-06-28,2025-08-23,421.0
C000019,Diya Saxena,c000019@mail.com,West,Pune,2022-08-23,Home Office,654709.99,7.0,93529.99857142857,214395.84,2024-01-05,2025-07-16,558.0
C000020,Diya Mehta,c000020@mail.com,East,Kolkata,2022-03-27,Corporate,194823.83000000002,4.0,48705.957500000004,69274.20999999999,2024-12-27,2025-10-07,284.0
C000021,Pooja Das,c000021@mail.com,West,Ahmedabad,2023-06-06,Consumer,331675.11,7.0,47382.15857142857,107208.4,2024-02-19,2025-01-10,326.0
C000022,Riya Malhotra,c000022@mail.com,South,Hyderabad,2023-06-13,Corporate,429173.64,7.0,61310.520000000004,172669.78999999998,2024-10-04,2025-11-30,422.0
