customer_id,customer_name,email,region,city,signup_date,segment
C000001,Vivaan Gupta,c000001@mail.com,West,Ahmedabad,2024-12-16,Home Office
C000002,Arjun Singh,c000002@mail.com,South,Bengaluru,2024-06-07,Consumer
C000003,Rahul Reddy,c000003@mail.com,West,Ahmedabad,2022-09-06,Corporate
C000004,Isha Malhotra,c000004@mail.com,West,Pune,2025-04-09,Corporate
C000005,Saanvi Kulkarni,c000005@mail.com,North,Chandigarh,2025-04-06,Corporate
C000006,Kiara Sharma,c000006@mail.com,Central,Bhopal,2022-02-19,Consumer
C000007,Isha Bose,c000007@mail.com,West,Mumbai,2022-01-31,Consumer
C000008,Kabir Bose,c000008@mail.com,West,Pune,2022-10-21,Consumer
C000009,Aditya Malhotra,c000009@mail.com,North,Chandigarh,2024-08-10,Consumer
C000010,Kabir Sharma,c000010@mail.com,South,Hyderabad,2023-12-19,Consumer
C000011,Rohan Saxena,c000011@mail.com,South,Hyderabad,2023-09-08,Consumer
C000012,Nitya Chopra,c000012@mail.com,Central,Nagpur,2023-05-14,Corporate
C000013,Diya Bhat,c000013@mail.com,West,Pune,2023-07-30,Corporate
C000014,Nitya Bhat,c000014@mail.com,West,Pune,2024-02-05,Consumer
C000015,Nikhil Saxena,c000015@mail.com,South,Chennai,2022-03-18,Consumer
C000016,Aarav Khan,c000016@mail.com,South,Chennai,2023-12-05,Corporate
C000017,Rahul Kulkarni,c000017@mail.com,East,Patna,2022-09-23,Consumer
C000018,Saanvi Patel,c000018@mail.com,North,Delhi,2024-08-03,Consumer
C000019,Diya Saxena,c000019@mail.com,West,Pune,2022-08-23,Home Office
C000020,Diya Mehta,c000020@mail.com,East,Kolkata,2022-03-27,Corporate
C000021,Pooja Das,c000021@mail.com,West,Ahmedabad,2023-06-06,Consumer
C000022,Riya Malhotra,c000022@mail.com,South,Hyderabad,2023-06-13,Corporate
C000023,Rahul Iyer,c000023@mail.com,Central,Nagpur,2023-09-15,Consumer
C000024,Nikhil Gupta,c000024@mail.com,Central,Bhopal,2024-10-29,Consumer
C000025,Pooja Mehta,c000025@mail.com,West,Pune,2024-04-19,Corporate
C000026,Tanvi Bose,c000026@mail.com,North,Delhi,2023-03-12,Corporate
C000027,Pooja Sharma,c000027@mail.com,East,Kolkata,2024-05-21,Corporate
C000028,Rohan Patel,c000028@mail.com,North,Delhi,2023-08-28,Consumer
C000029,Aditya Sharma,c000029@mail.com,North,Chandigarh,2022-09-26,Consumer
C000030,Aarav Singh,c000030@mail.com,West,Mumbai,2022-01-26,Consumer
C000031,Saanvi Bhat,c000031@mail.com,West,Ahmedabad,2022-01-05,Corporate
C000032,Vivaan Singh,c000032@mail.com,Central,Indore,2022-09-27,Consumer
C000033,Vivaan Iyer,c000033@mail.com,South,Bengaluru,2024-09-09,Corporate
C000034,Isha Mehta,c000034@mail.com,South,Hyderabad,2023-07-11,Consumer
C000035,Aditya Verma,c000035@mail.com,East,Bhubaneswar,2023-06-27,Consumer
C000036,Isha Saxena,c000036@mail.com,North,Delhi,2023-04-24,Consumer
C000037,Vivaan Bose,c000037@mail.com,North,Delhi,2022-11-04,Consumer
C000038,Aditya Verma,c000038@mail.com,East,Bhubaneswar,2024-05-07,Consumer
C000039,Tanvi Chopra,c000039@mail.com,South,Hyderabad,2022-01-16,Consumer
C000040,Kiara Sharma,c000040@mail.com,West,Mumbai,2024-01-05,Corporate
C000041,Varun Bose,c000041@mail.com,South,Bengaluru,2025-01-29,Consumer
C000042,Nitya Yadav,c000042@mail.com,West,Ahmedabad,2024-11-22,Corporate
C000043,Meera Gupta,c000043@mail.com,West,Mumbai,2023-03-20,Home Office
C000044,Isha Khan,c000044@mail.com,South,Hyderabad,2024-10-22,Home Office
C000045,Neha Jain,c000045@mail.com,West,Pune,2022-10-13,Consumer
C000046,Pooja Das,c000046@mail.com,West,Pune,2022-10-17,Consumer
C000047,Meera Sharma,c000047@mail.com,South,Hyderabad,2023-02-17,Consumer
C000048,Isha Khan,c000048@mail.com,South,Bengaluru,2022-01-22,Home Office
C000049,Kabir Saxena,c000049@mail.com,West,Pune,2022-11-15,Home Office
C000050,Tanvi Das,c000050@mail.com,North,Jaipur,2024-10-22,Home Office
C000051,Aarav Singh,c000051@mail.com,North,Jaipur,2024-07-03,Corporate
C000052,Meera Mehta,c000052@mail.com,North,Chandigarh,2023-01-30,Corporate
C000053,Rohan Das,c000053@mail.com,West,Mumbai,2023-01-10,Consumer
C000054,Rohan Nair,c000054@mail.com,West,Ahmedabad,2023-02-21,Consumer
C000055,Nikhil Nair,c000055@mail.com,West,Pune,2022-05-23,Consumer
C000056,Saanvi Roy,c000056@mail.com,West,Pune,2022-07-10,Consumer
C000057,Isha Jain,c000057@mail.com,South,Chennai,2025-04-06,Consumer
C000058,Nikhil Malhotra,c000058@mail.com,East,Patna,2024-04-11,Corporate
C000059,Diya Roy,c000059@mail.com,North,Delhi,2024-03-24,Consumer
C000060,Varun Verma,c000060@mail.com,North,Chandigarh,2022-12-03,Consumer
C000061,Arjun Khan,c000061@mail.com,West,Pune,2024-10-24,Consumer
C000062,Kabir Gupta,c000062@mail.com,East,Patna,2022-08-01,Consumer
C000063,Arjun Das,c000063@mail.com,East,Kolkata,2025-03-08,Consumer
C000064,Diya Khan,c000064@mail.com,West,Pune,2023-08-28,Corporate
C000065,Aditya Nair,c000065@mail.com,East,Patna,2023-02-01,Consumer
C000066,Nikhil Reddy,c000066@mail.com,East,Bhubaneswar,2024-06-19,Consumer
C000067,Neha Gupta,c000067@mail.com,East,Bhubaneswar,2023-05-16,Consumer
C000068,Aarav Roy,c000068@mail.com,South,Hyderabad,2022-11-20,Consumer
C000069,Pooja Khan,c000069@mail.com,North,Delhi,2024-03-31,Corporate
C000070,Nikhil Iyer,c000070@mail.com,South,Chennai,2024-05-16,Consumer
C000071,Vivaan Iyer,c000071@mail.com,North,Chandigarh,2023-12-25,Consumer
C000072,Riya Das,c000072@mail.com,South,Bengaluru,2023-07-09,Consumer
C000073,Tanvi Iyer,c000073@mail.com,West,Mumbai,2023-01-30,Consumer
C000074,Arjun Kulkarni,c000074@mail.com,South,Hyderabad,2023-04-30,Consumer
C000075,Saanvi Gupta,c000075@mail.com,North,Jaipur,2024-11-15,Consumer
C000076,Aarav Kulkarni,c000076@mail.com,South,Hyderabad,2023-03-08,Home Office
C000077,Meera Kulkarni,c000077@mail.com,South,Hyderabad,2025-03-06,Home Office
C000078,Diya Nair,c000078@mail.com,West,Ahmedabad,2022-06-24,Consumer
C000079,Varun Bhat,c000079@mail.com,East,Kolkata,2022-07-15,Corporate
C000080,Nitya Roy,c000080@mail.com,West,Pune,2023-02-04,Consumer
C000081,Neha Yadav,c000081@mail.com,West,Pune,2022-01-04,Home Office
C000082,Kiara Yadav,c000082@mail.com,South,Bengaluru,2024-11-21,Consumer
C000083,Meera Kulkarni,c000083@mail.com,West,Ahmedabad,2023-02-13,Consumer
C000084,Rahul Malhotra,c000084@mail.com,North,Jaipur,2022-05-03,Corporate
C000085,Neha Das,c000085@mail.com,North,Delhi,2024-01-13,Consumer
C000086,Rohan Patel,c000086@mail.com,North,Chandigarh,2025-02-23,Corporate
C000087,Tanvi Malhotra,c000087@mail.com,West,Mumbai,2025-04-07,Consumer
C000088,Kiara Bhat,c000088@mail.com,East,Kolkata,2022-05-09,Consumer
C000089,Kiara Bose,c000089@mail.com,North,Delhi,2024-08-09,Home Office
C000090,Varun Roy,c000090@mail.com,East,Bhubaneswar,2023-03-11,Corporate
C000091,Nitya Bose,c000091@mail.com,North,Delhi,2024-09-30,Consumer
C000092,Arjun Gupta,c000092@mail.com,West,Pune,2023-12-29,Consumer
C000093,Rahul Bhat,c000093@mail.com,South,Hyderabad,2024-05-28,Consumer
