customer_id,customer_name,email,region,customer_segment,last_order_date,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_code,rfm_segment,priority,crm_action
C010471,Kiara Khan,c010471@mail.com,South,Consumer,2025-07-05,180,12,1614245.1,2,5,5,255,At Risk,P1,"Urgent win-back campaign, targeted discount, category-specific offers"
C000352,Varun Patel,c000352@mail.com,North,Consumer,2025-11-09,53,13,1554197.48,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C000854,Rohan Chopra,c000854@mail.com,Central,Consumer,2025-12-15,17,14,1517981.0299999998,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C012528,Arjun Gupta,c012528@mail.com,North,Consumer,2025-12-23,9,12,1481503.66,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C015296,Saanvi Sharma,c015296@mail.com,North,Consumer,2025-12-24,8,12,1394840.94,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C019761,Kiara Das,c019761@mail.com,West,Consumer,2025-12-15,17,13,1385918.04,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C006461,Nikhil Gupta,c006461@mail.com,South,Home Office,2025-12-18,14,8,1365822.2000000002,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C010328,Rahul Jain,c010328@mail.com,North,Corporate,2025-12-04,28,13,1357294.06,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C000517,Anaya Jain,c000517@mail.com,South,Consumer,2025-11-26,36,11,1343574.5699999998,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C018753,Nikhil Bhat,c018753@mail.com,Central,Consumer,2025-11-23,39,8,1298568.79,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C011840,Rohan Das,c011840@mail.com,North,Consumer,2025-12-12,20,6,1295431.35,5,4,5,545,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C012293,Arjun Sharma,c012293@mail.com,South,Consumer,2025-12-21,11,8,1293276.16,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
